floor,room,x,y,type
N2,288,1039.5,220.5,other
N2,909,1081.5,248.5,room
N2,908,1135.5,233.5,room
N2,317,1102.5,249.5,other
N2,910,1177.5,234.5,room
N2,911,1222.5,234.5,room
N2,912,1279.5,234.5,room
N2,322,1264.5,258.5,other
N2,431,1279.5,258.5,other
N2,323,1293.5,258.5,other
N2,913,1325.5,246.5,room
N2,914,1393.5,246.5,room
N2,915,1460.5,246.5,room
N2,916,1517.5,233.5,room
N2,917,1504.5,275.5,room
N2,918,1504.5,295.5,room
N2,919,1504.5,315.5,room
N2,921,1504.5,356.5,room
N2,922,1504.5,380.5,room
N2,923,1535.5,402.5,room
N2,924,1504.5,412.5,room
N2,925,1513.5,447.5,room
N2,927,1504.5,475.5,room
N2,928,1504.5,502.5,room
N2,929,1504.5,526.5,room
N2,930,1504.5,548.5,room
N2,931,1479.5,583.5,room
N2,932,1460.5,583.5,room
N2,933,1434.5,583.5,room
N2,934,1403.5,583.5,room
N2,935,1372.5,583.5,room
N2,936,1326.5,591.5,room
N2,937,1340.5,577.5,room
N2,938,1326.5,577.5,room
N2,939,1312.5,577.5,room
N2,940,1280.5,583.5,room
N2,941,1248.5,583.5,room
N2,942,1220.5,583.5,room
N2,943,1187.5,583.5,room
N2,944,1160.5,583.5,room
N2,945,1155.5,557.5,room
N2,948,1155.5,503.5,room
N2,900,1159.5,415.5,room
N2,367_2,1155.5,385.5,other
N2,364_2,1155.5,445.5,other
N2,901,1119.5,415.5,room
N2,902,1134.5,358.5,room
N2,406_4,1110.5,366.5,other
N2,903,1134.5,338.5,room
N2,904,1134.5,315.5,room
N2,905,1134.5,295.5,room
N2,906,1134.5,275.5,room
N2,907,1104.5,275.5,room
N2,949,1133.5,530.5,room
N2,950,1133.5,512.5,room
N2,951,1133.5,493.5,room
N2,952,1133.5,476.5,room
N2,946,1130.5,557.5,room
N2,947,1110.5,557.5,room
N2,926,1497.5,447.5,room
N2,920,1504.5,335.5,room
N2,829,1039.5,198.5,room
N2,828,1039.5,167.5,room
N2,827,1039.5,137.5,room
N2,826,1039.5,110.5,room
N2,825,989.5,108.5,room
N2,820,966.5,222.5,room
N2,821,962.5,193.5,room
N2,804,817.5,76.5,room
N2,807,835.5,77.5,room
N2,808,853.5,78.5,room
N2,810,872.5,79.5,room
N2,813,890.5,80.5,room
N2,812,907.5,81.5,room
N2,844,549.5,170.5,room
N2,845,549.5,146.5,room
N2,850,600.5,84.5,room
N2,853,630.5,86.5,room
N2,855,660.5,88.5,room
N2,267_2,694.5,83.5,other
N2,851,598.5,56.5,room
N2,852,616.5,57.5,room
N2,854,634.5,58.5,room
N2,856,652.5,59.5,room
N2,857,670.5,60.5,room
N2,864,514.5,84.5,room
N2,858,514.5,67.5,room
N2,861,461.5,52.5,room
N2,862,461.5,72.5,room
N2,863,482.5,72.5,room
