type,floor,d,fill_rule
rooms_blueprint,RC,M717.898 130.495L718 129.5V135.5H722.5V131H733V134H737.5V132H756.5V134H761.5V132H771.5V134H776L781 62.5L805.358 64.5924L803.504 85.9134L805.496 86.0866L807.35 64.7636L823.397 66.142L821.504 87.9134L823.496 88.0866L825.39 66.3132L843.421 67.8622L841.504 89.9134L843.496 90.0866L845.414 68.0334L861.374 69.4044L859.504 90.9134L861.496 91.0866L863.367 69.5756L881.312 71.1171L879.504 91.9134L881.496 92.0866L883.305 71.2883L933.444 75.5955L931.504 97.9134L933.496 98.0866L935.437 75.7666L948.333 76.8744L946.504 97.9134L948.496 98.0866L950.326 77.0456L971.163 78.8356L969.504 97.9134L971.496 98.0866L973.155 79.0067L989.029 80.3704L987.504 97.9134L989.496 98.0866L991.022 80.5415L1008 82L1006.5 105H1059L1059.16 113H1039.5V115H1059.2L1059.52 131H1039.5V133H1059.56L1059.84 147H1039.5V149H1059.88L1060.65 188H1041.5V190H1060.69L1061 205.5H1042.5V211H1048.5V227.5H1040V230.163C1047.99 231.213 1054.41 237.224 1056.08 245H1067.5V234H1107.5V222.5H1154.5V249H1164.5V227.5H1252.5V241.5H1254.5V227.5H1257V224H1254.5V214H1268V224H1265V227.5H1271.5V214H1294.5V220.5L1303 229.5H1311V214H1316.5V229.5H1320V212H1333V229.5H1335.5V214H1342.5V229.5H1348L1358.5 214H1392.5V227.5H1400.5V254.5H1402.5V227.5H1491.5V249H1500.5V244H1514.5V217.5H1500.5V205H1538V257H1533.5V269H1538V378H1523.5V361H1510.5V363H1521.5V378H1509.5V394.5H1521V412.5H1527V421H1521V437.5H1508V447H1521V467H1524V458H1538V557H1533.25V563H1538V630H1500.5V628H1487.5V630H1446V600H1465V598H1444V630H1387.5V620.5H1385.5V630H1364.5V600H1385V610H1387V598H1348.5V598.5H1348V575H1340V624C1339 627.333 1334.8 634 1326 634C1317.2 634 1313 627.333 1312 624V575H1305V596.5H1288V606.014C1288.05 606.011 1288.1 606.009 1288.15 606.007L1288.18 606.006L1288.22 606.004C1288.31 606.001 1288.41 606 1288.5 606C1293.47 606 1297.5 610.029 1297.5 615C1297.5 619.971 1293.47 624 1288.5 624C1288.41 624 1288.33 623.999 1288.24 623.996C1288.16 623.994 1288.08 623.991 1288 623.986V630H1264.5V625H1262.5V630H1202.5V625H1200.5V630H1162V624H1150V634H1109V580.5H1100.5V586.5H1065.5V571.5H1053.87C1052 575.579 1048.64 578.837 1044.5 580.588V588H1056.5V619H1047.5V621H1056.5V660H1047.5V662H1056.5V677.5H1047.5V679.5H1057V714.5H1050.5V716.5H1057V744L1028.5 745.5V733H1020.5V745.5L958.5 747.475V734.5H956.5V747.538L942 748V740H934V748H923V627H927.5V619H923V596.5H915V609.5H777.5V571.5H915V586.5H923V557.5H942V619H938V627H942V646.5H944V621H977V557.5H1014V561.5H1019.67C1020.89 552.742 1028.41 546 1037.5 546C1045.15 546 1051.68 550.771 1054.29 557.5H1100.5V571.5H1124V563H1109V538H1120.5V537.5H1128V535.5H1120.5V463.5H1159.5V535.5H1152.5V537.5H1159.5V563H1131.5V571.5H1173.5V563H1195.5V575.5H1197.5V563H1216.5V575.5H1218.5V563H1238.5V575.5H1240.5V563H1264.5V575.5H1266.5V563H1288V585.5H1294V563H1450.5V578H1452.5V563H1487V578H1489V563H1500.5V557H1487.5V534H1496V532H1487.5V511.5H1496V509.5H1487.5V487.5H1496V485.5H1487.5V447H1500.5V437.5H1487.5V421H1481.5V412.5H1487.5V394.5H1500.5V378H1487.5V363H1498.5V361H1487.5V299.5H1498.5V297.5H1487.5V269H1503.5V257H1491.5V262.5H1379V247H1345.5V234.5H1342.5V262.5H1335.5V250.5H1333V262.5H1320V250.5H1316.5V262.5H1311V234.5H1308V245H1296V234.5H1293V245H1270.5V236.5H1268.5V257.5H1270.5V262.5H1254.5V250.5H1252.5V262.5H1164.5V257.5H1154.5V261H1141V265H1159.5V287H1141V291H1159.5V312.5H1141V316H1159.5V348H1141V352H1159.5V371H1114.5V352H1132V348H1114.5V316H1132V312.5H1114.5V291H1132V287H1114.5V282.5C1111.5 282.5 1105.5 281.1 1105.5 275.5C1105.5 269.9 1111.5 268.5 1114.5 268.5V265H1132V261H1107.5V257.5H1101.5V262.5H1067.5V253H1056.08C1054.24 261.573 1046.62 268 1037.5 268C1028.38 268 1020.76 261.573 1018.92 253H1015V259H990V253H976.5V262.5H932V241.5H976.5V246.5H990V237H1015V246.5H1018.66C1019.64 239.034 1024.96 232.934 1032 230.808V227.5H1026.5V211H1032L1026.5 205.5H1005.5V165.5H1014.5V163.5H1003.5V205.5H967.5V196H965.5V205.5H941.5V234H925V246.5H911.5V233H909.5V246.5H879.5V234H874V222.5H879.5V209H863.5V205.5H843V192H913.5V144.585L856.088 139.504L855.912 141.496L911.5 146.415V190H841V205.5H776V192H826V148.577L787.58 145.503L787.42 147.497L824 150.423V190H754V192H758.5V209H737.5V192H740.5V190H675V126.107L717.898 130.495ZM1528.5 563V557H1524V473.5H1521V485.5H1511.5V487.5H1521V509.5H1511.5V511.5H1521V532H1511.5V534H1521V557H1509.5V563H1515.5C1515.5 560.791 1517.29 559 1519.5 559C1521.71 559 1523.5 560.791 1523.5 563H1528.5ZM1028.5 714.5V679.5H1036V677.5H1028.5V675H1011.5V677H1019.5V699H998V677.5H1004.5V675.5H996V699H944V663.5H942V713H934V728.5H942V715.5H956.5V727H958.5V715.5H967.5V713H958.5V701H1020.5V713H1009V715.5H1002V713H979V715.5H1020.5V725H1028.5V716.5H1037V714.5H1028.5ZM1033.5 581.554C1027.63 580.222 1022.85 576.019 1020.71 570.5H1011.5V573.5H1017V604.5H1011.5V607H1027.5V588H1033.5V581.554ZM1019.5 137.5L976.5 134.5V132.5L1004 134.5L1005 116H1019.5V137.5ZM1021 164V196H1023V164H1021ZM893 236.5V217.5H895V236.5H893ZM909.5 208.5V223.5H911.5V208.5H931.5V130.367L955.893 132.994L956.107 131.006L929.664 128.158L931.496 107.087L929.504 106.913L927.675 127.944L923.607 127.506L923.393 129.494L929.5 130.152V206.5H875V208.5H909.5ZM965.5 185V159H967.5V185H965.5ZM914.431 128.998L870.931 125.998L871.069 124.002L877.525 124.448L878.501 103.952L880.499 104.048L879.521 124.585L909.1 126.625L913.003 74.4254L914.997 74.5746L911.095 126.763L914.569 127.002L914.431 128.998ZM776.409 134.996L814.909 138.496L815.091 136.504L776.591 133.004L776.409 134.996ZM777.407 119.996L841 125.911V151.93L883.428 154.997L883.572 153.003L843 150.07V124.089L839.61 123.773L841.496 102.087L839.504 101.913L837.619 123.588L819.598 121.912L821.496 100.087L819.504 99.9134L817.607 121.727L801.57 120.235L803.496 98.0866L801.504 97.9134L799.579 120.05L777.593 118.004L777.407 119.996ZM855.504 125.913L857.504 102.913L859.496 103.087L857.496 126.087L855.504 125.913ZM965.5 130V144.5H967.5V130H965.5ZM1488 586.5V586H1486V597H1472.5V618.5H1474.5V599H1487.5V622H1500V619H1516V611H1525V619H1528.5V590H1525C1524.33 592 1522.4 596 1520 596C1517.6 596 1516.33 592 1516 590H1500V586.5H1488ZM1521 299.5H1510.5V297.5H1521V267.5H1524.5V258.5H1526.5V269.5H1523V353H1521V299.5ZM1198.5 257.5V236.5H1200.5V257.5H1198.5ZM1232.5 236.5V257.5H1234.5V236.5H1232.5ZM1449.5 236.5H1451.5V257.5H1449.5V236.5ZM1419.5 587.5V572H1417.5V587.5H1419.5ZM1386.5 572V587.5H1384.5V572H1386.5ZM1437 600H1394.5V598H1437V600ZM1170 588.5H1172V598H1195.5V585.5H1197.5V598H1216.5V585.5H1218.5V598H1238.5V585.5H1240.5V598H1264.5V585.5H1266.5V606.5H1264.5V600H1202.5V606H1200.5V600H1170V588.5ZM1525 224V215.5H1527V224H1525ZM1150.5 588H1162.5V605H1150.5V588ZM983.5 574H992V570H983.5V574ZM992 606H983.5V602H992V606ZM1036 621H1028.5V660H1036V662H1011V660H1017.5V621H1011V619H1036V621ZM994.5 621H986.5V619H1004V621H996.5V632H1003.5V634H996.5V642.5H1003V644.5H994.5V621ZM996.5 660H1003.5V662H996.5V660Z,evenodd
rooms_blueprint,RC,M721.5 711.5H773.5V615H721.5V711.5Z,
rooms_blueprint,RC,M717.5 610.5V573.5H573V610.5H717.5Z,
rooms_blueprint,RC,M561.5 678V615H545V645H537.5V658H550V661H528V678H561.5Z,
rooms_blueprint,RC,M337 755.5V720H323.5V727.5H320.5V720H305.5V727.5H302.5V670H195.5V687.5H191.5V670L141 672V758.5H157V749.5H159.5V758.5H174V739H177.5V758.5H191.5V729.5H195.5V758.5H209.5V739H212.5V758.5H229V729.5H231.5V758.5H247.5V725.5H267V755.5H302.5V749.5H305.5V755.5H320.5V749.5H323.5V755.5H337ZM267.5 682H246.5V712H194.5V696H192.5V712H157.5V686.5H155.5V740H157.5V714H246.5V718H267.5V682Z,evenodd
stairs,RC,M670 74.5L681 76.5L683.5 53.5L707 56.5V64.5H691.5V79L702 76.5L704.5 67H718L716 98.5H702V88.5L691.5 83.5L689 98.5L702 100.5V108.5L681 106.5V83.5H670V74.5Z,
stairs,RC,M941.5 207H981.5V220H941.5V207Z,
stairs,RC,M1512.5 227H1500.5V244H1512.5V227Z,
stairs,RC,M1306.5 246H1270.5V264H1306.5V246Z,
stairs,RC,M1160 395.5H1135.5V387H1148.5V384H1106.5V450H1148.5V447H1135.5V438.5H1160V459H1140.5V463H1132V459H1098V375H1132V371H1140.5V375H1160V395.5Z,
